carehomesbeds,year_location_end,forced_closure,ownership,individual_partnership,company,age,dementia,nurse,mental_health,detained,disabled,closed_complete,inadequate,requiresimprovement,good,outstanding,missing_quality
18,2011,0,For-Profit,0,1,2.5666666,0,0,0,0,0,1,,,,,1
6,2011,0,For-Profit,0,1,-1.7333333,0,0,0,0,0,1,,,,,1
55,2011,0,For-Profit,0,1,11.2,0,0,0,0,0,0,,,,,1
60,2011,0,For-Profit,0,1,6.9333334,0,0,0,0,0,0,,,,,1
86,2011,0,For-Profit,0,1,9.8666668,1,1,0,0,0,0,,,,,1
48,2011,0,For-Profit,0,1,11.066667,1,1,0,0,0,0,,,,,1
71,2011,0,For-Profit,0,1,9.8666668,1,1,0,0,0,0,,,,,1
38,2011,0,For-Profit,0,1,8.5,1,0,0,0,0,1,,,,,1
23,2011,0,For-Profit,0,1,5.2666669,1,0,0,0,0,1,,,,,1
39,2011,0,For-Profit,0,1,11.2,1,0,0,0,0,0,,,,,1
34,2011,0,For-Profit,0,1,11.2,1,0,0,0,0,0,,,,,1
0,2011,0,For-Profit,1,0,17.233334,1,1,0,0,1,0,,,,,1
26,2011,0,For-Profit,0,1,11.5,0,0,0,0,0,0,,,,,1
6,2011,0,For-Profit,1,0,4.0666666,0,0,1,0,0,1,,,,,1
18,2011,0,For-Profit,1,0,10.766666,0,0,1,0,0,0,,,,,1
48,2011,0,For-Profit,0,1,3.4666667,1,1,0,0,0,1,,,,,1
0,2011,0,Local Authority,0,0,4.0333333,1,0,1,0,1,0,,,,,1
27,2011,0,For-Profit,1,0,2.8333333,1,0,0,0,0,1,,,,,1
54,2011,0,For-Profit,0,1,11.2,0,1,0,0,0,0,,,,,1
15,2011,0,Third sector,0,0,7.7666669,0,0,0,0,1,1,,,,,1
36,2011,0,For-Profit,1,0,6.0999999,0,0,0,0,0,1,,,,,1
60,2011,0,For-Profit,0,1,9.1000004,1,1,1,0,0,0,,,,,1
25,2011,0,For-Profit,0,1,5.4666667,1,1,1,0,0,0,,,,,1
8,2011,0,Third sector,0,0,2.3,0,0,1,0,0,1,,,,,1
3,2011,0,For-Profit,1,0,10.066667,0,0,0,0,0,0,,,,,1
58,2011,0,For-Profit,0,1,.96666664,0,1,0,0,0,0,,,,,1
49,2011,0,For-Profit,0,1,10.566667,1,1,0,0,1,0,,,,,1
3,2011,0,Third sector,0,0,3.5666666,0,0,0,0,0,1,,,,,1
15,2011,0,For-Profit,0,1,10.066667,0,0,0,0,0,0,,,,,1
41,2011,0,For-Profit,0,1,9.1000004,0,0,0,0,0,0,,,,,1
6,2011,0,Third sector,0,0,5.4000001,0,0,0,0,0,1,,,,,1
6,2011,0,For-Profit,1,0,2.8666666,0,0,1,0,0,0,,,,,1
9,2011,0,For-Profit,1,0,10.033334,1,0,1,0,0,1,,,,,1
51,2011,0,For-Profit,0,1,11.4,0,1,0,0,0,0,,,,,1
44,2011,0,For-Profit,0,1,9.1000004,0,1,0,0,0,0,,,,,1
57,2011,0,For-Profit,0,1,10.566667,0,1,0,0,0,1,,,,,1
18,2011,0,For-Profit,0,1,7.5999999,0,1,0,0,0,1,,,,,1
0,2011,0,Local Authority,0,0,2.8666666,0,0,0,0,0,1,,,,,1
60,2011,0,For-Profit,0,1,11.4,0,1,0,0,1,0,,,,,1
0,2011,0,Local Authority,0,0,3.5333333,0,0,0,0,0,1,,,,,1
50,2011,0,For-Profit,0,1,.96666664,1,0,0,0,0,0,,,,,1
3,2011,0,For-Profit,0,1,5.7333331,0,0,0,0,1,1,,,,,1
8,2011,0,For-Profit,0,1,11.533334,0,0,0,0,0,0,,,,,1
3,2011,0,For-Profit,0,1,3.7666667,0,0,0,0,0,1,,,,,1
45,2011,0,For-Profit,0,1,11.4,1,1,0,0,0,0,,,,,1
0,2011,0,Local Authority,0,0,13.066667,1,0,1,0,1,1,,,,,1
8,2011,0,Third sector,0,0,10.066667,0,0,0,0,1,1,,,,,1
29,2011,0,For-Profit,1,0,.2,1,0,1,0,1,0,,,,,1
33,2011,0,For-Profit,0,1,8.5,1,0,0,0,0,1,,,,,1
63,2011,0,For-Profit,0,1,11.4,0,1,0,0,1,0,,,,,1
3,2011,0,For-Profit,1,0,6.3000002,0,0,0,0,0,1,,,,,1
6,2011,0,Third sector,0,0,4.9666667,0,0,0,0,0,1,,,,,1
31,2011,0,For-Profit,0,1,10.366667,1,0,0,0,0,0,,,,,1
63,2011,0,For-Profit,0,1,10.366667,0,1,0,0,0,0,,,,,1
100,2011,0,For-Profit,1,0,11.233334,0,1,0,0,0,1,,,,,1
6,2011,0,For-Profit,0,1,11.866667,0,0,1,0,0,1,,,,,1
0,2011,0,Third sector,0,0,9.8000002,1,0,0,0,0,1,,,,,1
0,2011,0,Third sector,0,0,3.8666666,0,0,0,0,1,1,,,,,1
52,2011,0,For-Profit,0,1,10.566667,1,0,0,0,0,0,,,,,1
30,2011,0,For-Profit,0,1,11.366667,0,1,0,0,1,0,,,,,1
66,2011,0,For-Profit,0,1,11.2,1,1,0,0,0,0,,,,,1
